"siteId","activityId","startDate","endDate","health_eru","first_aid","rescue","hygiene_promo","wash","pss_counseling","child_activities","total_pss","total_rfl","total_rfl_vulnerable","info_services","wifi_mobile","phone_cards_calls","hotline_calls","other_services","total_health","total_connectivity","total_wash","total_ppl_reached","Total.RFL","locationId","locationName","latitude","longitude","partnerId","partnerName"
1576769937,70700,"2016-05-20","2016-05-26",0,21,0,0,0,0,0,0,0,0,25,585,152,4,0,21,766,0,787,0,755114467,"Lesvos",39.1,26.55,13752,"Lesbos"
1584965683,70700,"2016-04-01","2016-04-07",314,0,0,35,0,42,165,207,5,0,6,0,2,0,6,521,8,35,575,5,461396992,"Diavata",40.7,22.86,13838,"Diavata"
1613795145,70700,"2016-06-03","2016-06-09",409,0,0,0,0,0,0,0,13,0,0,0,0,0,0,409,0,0,422,13,1159912091,"Kordelio",40.6621,22.8956,13910,"Hellenic Red Cross"
1615874513,70700,"2016-06-10","2016-06-16",0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,11,11,1116080926,"Oraiokastro",40.729,22.9105,13910,"Hellenic Red Cross"
1624596670,70700,"2016-05-27","2016-06-02",217,2,0,0,0,0,302,302,0,0,0,0,0,0,0,521,0,0,521,0,2141418389,"Ritsona",38.39,23.5,13840,"Ritsona"
1631418745,70700,"2016-01-09","2016-01-15",0,46,2170,0,0,8,13,21,3,1,620,3500,37,5,0,2237,4162,0,6403,4,755114467,"Lesvos",39.1,26.55,13752,"Lesbos"
1637609855,70700,"2015-12-26","2015-12-31",25,0,0,0,0,0,0,0,365,43,247,0,0,58,0,25,305,0,738,408,2025732386,"Athens",37.96667,23.71667,13761,"Athens"
1702812923,70700,"2016-03-25","2016-03-31",344,0,0,0,0,27,0,27,6,0,250,0,0,0,5,371,250,0,632,6,1537547328,"Idomeni",41.1265,22.518,13760,"Idomeni"
1711829389,70700,"2015-10-01","2015-12-25",2921,0,0,0,0,0,51,51,1213,260,998,114,0,901,0,2972,2013,0,6458,1473,2025732386,"Athens",37.96667,23.71667,13761,"Athens"
1712422940,70700,"2016-06-10","2016-06-16",171,0,0,0,0,121,0,121,0,0,0,0,0,0,0,292,0,0,292,0,2141418389,"Ritsona",38.39,23.5,13840,"Ritsona"
1713825401,70700,"2016-06-10","2016-06-16",167,0,0,0,0,8,116,124,0,0,0,0,0,0,29,291,0,0,320,0,461396992,"Diavata",40.7,22.86,13838,"Diavata"
1717188338,70700,"2016-02-05","2016-02-11",0,19,490,58,0,53,2,55,3,2,159,240,4,11,0,564,414,58,1041,5,755114467,"Lesvos",39.1,26.55,13752,"Lesbos"
1721266768,70700,"2016-05-06","2016-05-12",0,42,0,0,0,0,0,0,2,0,65,733,123,3,0,42,924,0,968,2,755114467,"Lesvos",39.1,26.55,13752,"Lesbos"
1748864971,70700,"2016-04-29","2016-05-05",163,0,0,107,0,277,0,277,0,0,0,0,0,0,0,440,0,107,547,0,1094663034,"Chios",38.38333,26.11667,13754,"Chios"
1755738032,70700,"2016-02-12","2016-02-18",0,2,630,0,0,0,0,0,1,0,12,90,3,3,0,632,108,0,741,1,755114467,"Lesvos",39.1,26.55,13752,"Lesbos"
1756715883,70700,"2016-04-22","2016-04-28",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,569080712,"Kos",36.85,27.23333,13759,"Kos"
