"siteId","activityId","startDate","endDate","male","female","under5","total_beneficiaries","total_beneficiaries2","family_parcels","food_parcels","food_to_go","hot_meals","water_bottles","survival_kits","total_food","fem_hygkit","male_hygkit","unisex_hygkit","san_pads","razors","baby_kits","diapers","total_hygiene","total_hygkits","sleeping_bags","camp_mats","high_thermal_blankets","med_thermal_blankets","jackets","socks","total_textiles","duffel_bags","backpacks","total_bags","total_warmth","total_clothing","alum_blankets","other","total_nfi_other","tea","plastic_cups","sugar_packs","plastic_bags","ramadan","Total.all.distributions","locationId","locationName","latitude","longitude","partnerId","partnerName","Data.Collection"
1388572683,70699,"2016-03-18","2016-03-24",163,2,2,167,0,38,36,0,0,743,0,74,0,0,108,0,43,0,0,151,108,0,0,0,10,0,0,10,0,45,45,10,0,0,100,145,0,0,0,0,0,1123,569080712,"Kos",36.85,27.23333,13759,"Kos","Manual"
1400343098,70699,"2016-01-23","2016-01-29",271,12,0,283,0,0,0,283,0,283,0,283,0,0,283,0,0,0,0,283,283,0,0,283,0,0,0,283,0,283,283,283,0,0,241,524,0,0,0,0,0,1656,2025732386,"Athens",37.96667,23.71667,13761,"Athens","Manual"
1400592102,70699,"2016-06-17","2016-06-23",0,0,0,400,400,0,400,0,0,0,0,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,200,0,0,0,0,200,0,1196,0,0,1196,1796,461396992,"Diavata",40.7,22.86,13838,"Diavata","Manual"
1409287004,70699,"2016-03-18","2016-03-24",607,503,412,1522,0,0,1102,0,0,1555,0,1102,0,0,108,80,250,35,375,848,108,0,0,152,0,0,0,152,1093,0,1093,152,0,0,0,1093,0,0,0,0,0,4750,755114467,"Lesvos",39.1,26.55,13752,"Lesbos","Manual"
1414571943,70699,"2016-02-19","2016-02-25",46,21,34,101,0,34,86,0,0,282,0,120,24,0,92,0,92,9,0,217,116,0,0,0,36,0,0,36,0,92,92,36,0,0,0,92,0,0,0,0,0,747,569080712,"Kos",36.85,27.23333,13759,"Kos","Manual"
1433894493,70699,"2016-02-19","2016-02-25",560,326,150,1036,0,0,540,0,0,1104,0,540,0,0,151,0,170,36,80,437,151,0,0,0,0,0,0,0,0,423,423,0,0,0,0,423,0,0,0,0,0,2504,519440442,"Samos",37.75,26.83333,13753,"Samos","Manual"
1443221552,70699,"2016-01-02","2016-01-08",168,30,5,203,0,30,99,0,0,120,0,129,30,0,0,0,0,5,0,35,30,0,0,15,0,0,0,15,0,0,0,15,0,0,170,170,0,0,0,0,0,469,569080712,"Kos",36.85,27.23333,13759,"Kos","Manual"
1445005763,70699,"2016-02-26","2016-03-03",113,67,32,212,0,0,180,0,0,0,0,180,0,0,0,0,132,32,0,164,0,84,84,90,0,0,0,258,0,200,200,258,0,0,0,200,0,0,0,0,0,802,519440442,"Samos",37.75,26.83333,13753,"Samos","Manual"
1462261371,70699,"2016-02-12","2016-02-18",48,27,14,89,0,0,0,0,0,0,0,0,0,0,41,2,48,7,129,227,41,0,0,0,0,0,0,0,0,46,46,0,0,0,0,46,0,0,0,0,0,273,519440442,"Samos",37.75,26.83333,13753,"Samos","Manual"
1475447399,70699,"2016-01-23","2016-01-29",0,0,0,11924,11924,0,2900,0,0,4517,0,2900,0,560,868,100,150,152,160,1990,1428,0,0,480,9,0,0,489,1475,0,1475,489,0,0,555,2030,0,0,0,0,0,11926,1537547328,"Idomeni",41.1265,22.518,13910,"Hellenic Red Cross","Manual"
1486140701,70699,"2016-05-27","2016-06-02",0,0,0,0,0,0,0,549,0,1098,0,549,0,0,549,0,188,51,0,788,549,0,0,0,0,0,0,0,0,210,210,0,0,0,0,210,0,0,0,0,0,2645,2141418389,"Ritsona",38.39,23.5,13840,"Ritsona","Manual"
1498173965,70699,"2016-05-06","2016-05-12",0,0,0,3712,3712,0,0,141,0,1512,0,141,100,152,0,100,0,100,1040,1492,252,0,0,0,0,0,0,0,0,0,0,0,0,0,567,567,0,0,0,0,0,3712,461396992,"Diavata",40.7,22.86,13838,"Diavata","Manual"
1505299642,70699,"2016-03-25","2016-03-31",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,569080712,"Kos",36.85,27.23333,13759,"Kos","Manual"
1507903209,70699,"2016-04-22","2016-04-28",0,0,0,18334,18334,0,2308,0,0,5600,0,2308,0,0,1353,120,600,400,0,2473,1353,0,0,0,0,0,0,0,400,0,400,0,0,0,7553,7953,0,0,0,0,0,18334,1537547328,"Idomeni",41.1265,22.518,13760,"Idomeni","Manual"
1512889322,70699,"2016-04-15","2016-04-21",0,0,0,9386,9386,0,0,0,0,4536,0,0,0,0,1380,480,800,0,990,3650,1380,0,0,1200,0,0,0,1200,0,0,0,1200,0,0,0,0,0,0,0,0,0,9386,461396992,"Diavata",40.7,22.86,13838,"Diavata","Manual"
1525693555,70699,"2016-05-13","2016-05-19",0,0,0,0,0,0,0,541,0,1180,0,541,0,0,541,0,0,49,120,710,541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2431,2141418389,"Ritsona",38.39,23.5,13840,"Ritsona","Manual"
1529190773,70699,"2016-01-16","2016-01-22",357,16,6,379,0,0,0,379,0,379,0,379,0,0,0,0,0,0,0,0,0,0,0,379,0,0,0,379,0,379,379,379,0,0,0,379,0,0,0,0,0,1516,2025732386,"Athens",37.96667,23.71667,13761,"Athens","Manual"
1537920803,70699,"2016-01-30","2016-02-04",483,85,38,606,0,0,161,0,0,1361,0,161,0,0,161,0,0,0,0,161,161,500,0,661,0,0,0,1161,0,161,161,1161,0,0,0,161,0,0,0,0,0,3005,2025732386,"Athens",37.96667,23.71667,13761,"Athens","Manual"
1544773892,70699,"2016-03-25","2016-03-31",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1094663034,"Chios",38.38333,26.11667,13754,"Chios","Manual"
1580513719,70699,"2016-06-10","2016-06-16",0,0,0,4452,4452,0,0,4452,0,1512,0,4452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5964,755114467,"Lesvos",39.1,26.55,13752,"Lesbos","Manual"
1591132360,70699,"2016-05-20","2016-05-26",0,0,0,0,0,0,0,543,0,1192,0,543,0,0,0,0,197,51,0,248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1983,2141418389,"Ritsona",38.39,23.5,13840,"Ritsona","Manual"
1592070231,70699,"2016-02-05","2016-02-11",20,12,115,147,0,0,60,0,0,0,16,60,38,0,0,0,0,20,0,58,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,134,1094663034,"Chios",38.38333,26.11667,13754,"Chios","Manual"
1602277678,70699,"2016-02-12","2016-02-18",0,0,0,4172,4172,0,936,0,0,1680,0,936,0,0,308,25,300,42,126,801,308,0,0,0,155,0,0,155,600,0,600,155,0,0,0,600,0,0,0,0,0,4172,1537547328,"Idomeni",41.1265,22.518,13760,"Idomeni","Manual"
1634258833,70699,"2016-05-27","2016-06-02",0,0,0,4013,4013,0,0,0,0,0,3304,0,0,0,0,2007,2000,512,840,5359,0,0,0,0,0,0,0,0,1480,0,1480,0,0,0,0,4784,0,0,0,0,0,10143,354452122,"Nea Kavala",40.99,22.62,13839,"Nea Kavala","Manual"
1637097929,70699,"2016-05-20","2016-05-26",0,0,0,7721,7721,0,0,90,0,1704,0,90,0,0,2188,100,1797,0,800,4885,2188,0,0,0,0,0,0,0,0,0,0,0,0,0,1042,1042,0,0,0,0,0,7721,461396992,"Diavata",40.7,22.86,13838,"Diavata","Manual"
1639256603,70699,"2016-02-26","2016-03-03",1329,1201,1238,3768,0,0,2827,0,0,4944,0,2827,0,209,1341,205,1661,227,0,3643,1550,0,0,1892,0,0,0,1892,2777,0,2777,1892,0,0,30,2807,0,0,0,0,0,16113,755114467,"Lesvos",39.1,26.55,13752,"Lesbos","Manual"
1644371045,70699,"2016-03-25","2016-03-31",40,29,17,86,0,0,69,0,0,152,0,69,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,20,0,20,0,0,0,0,20,0,0,0,0,0,242,755114467,"Lesvos",39.1,26.55,13752,"Lesbos","Manual"
1646327614,70699,"2016-02-24","2016-02-25",0,0,0,3652,3652,0,0,0,0,200,0,0,0,0,1840,0,1200,212,200,3452,1840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3652,461396992,"Diavata",40.7,22.86,13838,"Diavata","Manual"
1651204585,70699,"2016-04-08","2016-04-14",0,0,0,7187,7187,0,0,0,0,2764,0,0,0,0,2240,272,1200,266,335,4313,2240,0,0,120,0,0,0,120,0,0,0,120,0,0,0,0,0,0,0,0,0,7197,461396992,"Diavata",40.7,22.86,13838,"Diavata","Manual"
1652526410,70699,"2016-05-06","2016-05-12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1094663034,"Chios",38.38333,26.11667,13754,"Chios","Manual"
1662419581,70699,"2015-12-26","2016-01-01",77,3,0,80,0,9,54,0,0,120,0,63,3,0,0,0,0,0,0,3,3,44,27,35,0,0,0,106,0,0,0,106,0,0,170,170,0,0,0,0,0,462,569080712,"Kos",36.85,27.23333,13759,"Kos","Manual"
1676204400,70699,"2016-05-20","2016-05-26",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1094663034,"Chios",38.38333,26.11667,13754,"Chios","Manual"
1676249806,70699,"2016-01-30","2016-02-04",459,181,282,922,0,0,953,0,0,894,0,953,0,0,207,325,106,26,0,664,207,0,0,168,0,0,0,168,823,0,823,168,0,0,616,1439,0,0,0,0,0,4118,755114467,"Lesvos",39.1,26.55,13752,"Lesbos","Manual"
1680384232,70699,"2016-04-01","2016-04-07",2712,1826,1903,6441,0,0,3200,0,0,13112,0,3200,0,0,1900,460,0,0,600,2960,1900,0,0,720,0,0,0,720,0,700,700,720,0,0,0,700,0,0,0,0,0,20692,2025732386,"Athens",37.96667,23.71667,13761,"Athens","Manual"
1686466346,70699,"2016-02-26","2016-03-03",242,160,40,442,0,0,268,0,0,0,8,268,29,0,286,0,0,0,0,315,315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,591,1094663034,"Chios",38.38333,26.11667,13754,"Chios","Manual"
1700148439,70699,"2016-05-13","2016-05-19",0,0,0,9956,9956,0,1927,0,0,6230,0,1927,0,0,0,238,0,168,0,406,0,0,0,0,0,0,0,0,0,400,400,0,0,0,993,1393,0,0,0,0,0,9956,1537547328,"Idomeni",41.1265,22.518,13760,"Idomeni","Manual"
1701471641,70699,"2016-02-05","2016-02-11",210,52,78,340,0,0,362,0,0,362,0,362,0,0,362,0,0,0,0,362,362,0,0,362,0,0,0,362,0,362,362,362,0,0,0,362,0,0,0,0,0,1810,2025732386,"Athens",37.96667,23.71667,13761,"Athens","Manual"
1703125763,70699,"2016-06-10","2016-06-16",0,0,0,3200,3200,0,3200,0,0,0,0,3200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,13,2480,3200,1320,670,7670,10883,1198055428,"Skaramagas",38.0048,23.5891,13761,"Athens","Manual"
1707338283,70699,"2016-03-03","2016-03-10",1262,1190,1048,3500,0,0,2480,0,0,4987,0,2480,0,0,1344,40,289,118,0,1791,1344,0,0,1485,0,0,0,1485,1780,0,1780,1485,0,0,45,1825,0,0,0,0,0,12568,755114467,"Lesvos",39.1,26.55,13752,"Lesbos","Manual"
1720621429,70699,"2015-10-01","2015-12-25",0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,200,1543939307,"Rhodes",36.4093,28.2215,13910,"Hellenic Red Cross","Manual"
1732188210,70699,"2016-03-18","2016-03-24",3690,2429,2326,8445,0,0,6500,0,0,10000,0,6500,0,0,5000,480,0,0,0,5480,5000,0,0,720,0,0,0,720,0,600,600,720,0,0,0,600,0,0,0,0,0,23300,2025732386,"Athens",37.96667,23.71667,13761,"Athens","Manual"
1735196968,70699,"2016-01-09","2016-01-15",0,0,0,6034,6034,0,2479,0,0,2496,0,2479,0,0,120,0,0,79,60,259,120,0,0,0,600,0,0,600,200,0,200,600,0,0,0,200,0,0,0,0,0,6034,1537547328,"Idomeni",41.1265,22.518,13910,"Hellenic Red Cross","Manual"
1738136248,70699,"2016-02-26","2016-03-03",2200,1808,2012,6020,0,0,3640,0,0,8140,0,3640,0,0,1340,0,0,305,260,1905,1340,0,0,940,0,0,0,940,0,640,640,940,0,0,1500,2140,0,0,0,0,0,16765,2025732386,"Athens",37.96667,23.71667,13761,"Athens","Manual"
1742154851,70699,"2016-04-29","2016-05-05",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,519440442,"Samos",37.75,26.83333,13753,"Samos","Manual"
1743133174,70699,"2016-01-30","2016-02-04",98,31,33,162,0,25,100,0,0,263,0,125,21,0,123,0,143,7,0,294,144,0,0,75,0,0,0,75,0,125,125,75,0,0,358,483,0,0,0,0,0,1240,569080712,"Kos",36.85,27.23333,13759,"Kos","Manual"
1768610429,70699,"2016-01-01","2016-01-08",223,151,46,420,0,0,0,0,0,840,0,0,0,0,420,81,0,0,0,501,420,0,0,420,0,0,0,420,0,420,420,420,0,0,0,420,0,0,0,0,0,2181,2025732386,"Athens",37.96667,23.71667,13761,"Athens","Manual"
1772835582,70699,"2016-03-18","2016-03-24",0,0,0,23254,23254,0,1100,0,0,0,0,1100,0,0,800,40,800,30,40,1710,800,0,0,0,0,680,0,680,0,902,902,0,680,0,18862,19764,0,0,0,0,0,23254,1537547328,"Idomeni",41.1265,22.518,13760,"Idomeni","Manual"
1772935504,70699,"2016-03-10","2016-03-17",0,0,0,16323,16323,0,0,0,0,3760,0,0,0,0,1212,69,143,207,0,1631,1212,0,0,2231,7001,0,0,9232,0,1700,1700,9232,0,0,0,1700,0,0,0,0,0,16323,461396992,"Diavata",40.7,22.86,13838,"Diavata","Manual"
1776896840,70699,"2016-02-26","2016-03-03",0,0,0,3000,3000,0,0,0,0,48,0,0,0,0,2128,211,1390,234,0,3963,2128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4011,461396992,"Diavata",40.7,22.86,13838,"Diavata","Manual"
1777927156,70699,"2016-04-22","2016-04-28",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1094663034,"Chios",38.38333,26.11667,13754,"Chios","Manual"
1793230357,70699,"2016-06-10","2016-06-16",0,0,0,1558,1558,0,0,1500,0,2244,0,1500,0,0,0,0,0,684,0,684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4428,1159912091,"Kordelio",40.6621,22.8956,13910,"Hellenic Red Cross","Manual"
1800302005,70699,"2016-05-27","2016-06-02",0,0,0,2552,2552,0,0,0,0,0,1248,0,0,0,0,0,0,464,840,1304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1248,0,0,0,0,0,2552,461396992,"Diavata",40.7,22.86,13838,"Diavata","Manual"
1803274247,70699,"2016-06-17","2016-06-23",0,0,0,340,340,0,0,340,0,340,0,340,0,0,0,0,0,24,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,704,569080712,"Kos",36.85,27.23333,13759,"Kos","Manual"
1805470853,70699,"2016-05-13","2016-05-19",409,401,133,943,0,0,800,0,0,1600,0,800,0,0,400,0,0,0,0,400,400,0,0,160,0,0,0,160,800,0,800,160,0,0,0,800,0,0,0,0,0,3760,755114467,"Lesvos",39.1,26.55,13752,"Lesbos","Manual"
1805732161,70699,"2016-01-09","2016-01-15",1222,685,737,2644,0,369,845,0,0,1555,479,1214,86,0,96,32,0,131,0,345,182,112,0,0,0,0,0,112,783,0,783,112,0,0,4197,5459,0,0,0,0,0,8685,755114467,"Lesvos",39.1,26.55,13752,"Lesbos","Manual"
1805795344,70699,"2016-02-12","2016-02-18",113,26,13,152,0,22,122,0,0,200,0,144,24,0,96,0,86,10,0,216,120,0,0,0,80,0,0,80,0,126,126,80,0,0,320,446,0,0,0,0,0,1086,569080712,"Kos",36.85,27.23333,13759,"Kos","Manual"
1813096613,70699,"2016-03-11","2016-03-17",275,102,29,406,0,0,392,0,0,1008,0,392,0,0,48,41,96,14,168,367,48,0,0,0,0,0,0,0,0,357,357,0,0,0,0,357,0,0,0,0,0,2124,519440442,"Samos",37.75,26.83333,13753,"Samos","Manual"
1815793681,70699,"2016-04-01","2016-04-07",0,0,0,17344,17344,0,2400,0,0,7850,0,2400,0,0,0,0,1000,344,0,1344,0,0,0,340,0,0,0,340,0,400,400,340,0,0,5010,5410,0,0,0,0,0,17344,1537547328,"Idomeni",41.1265,22.518,13760,"Idomeni","Manual"
1824032916,70699,"2015-12-26","2016-01-01",0,0,0,150,150,100,50,0,0,0,45,150,35,0,0,0,0,12,0,47,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,242,1094663034,"Chios",38.38333,26.11667,13754,"Chios","Manual"
1834011794,70699,"2016-03-03","2016-03-10",755,595,135,1485,0,0,1070,0,0,0,197,1070,119,0,345,0,0,23,0,487,464,15,0,0,0,0,0,15,0,0,0,15,0,0,0,197,0,0,0,0,0,1769,1094663034,"Chios",38.38333,26.11667,13754,"Chios","Manual"
1844756268,70699,"2016-04-08","2016-04-14",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1094663034,"Chios",38.38333,26.11667,13754,"Chios","Manual"
