"siteId","activityId","startDate","endDate","nurse_vols","nurse_vols_hrs","social_vols","social_vols_hrs","samaritan_vols","samaritan_vols_hrs","rfl_vols","rfl_vols_hrs","fasttrack_vols","fasttrack_vols_hrs","Beneficiary.Volunteers","Beneficiaries.Hours.of.Service","staffvols_trained","Total.Volunteers..incl.Ben..","Total.Volunteer.Hours..incl.Ben..","Total.Volunteers..excl.Ben..","Total.Volunteer.Hours..excl.Ben..","locationId","locationName","latitude","longitude","partnerId","partnerName"
1575435746,70698,"2016-06-03","2016-06-09",0,0,0,0,0,0,0,0,0,0,32,640,0,32,640,0,0,569257762,"Cherso",41.09591,22.7691697,13837,"Cherso"
1599156634,70698,"2016-06-03","2016-06-09",20,144,20,148,17,94,0,0,0,0,0,0,0,57,386,57,386,2025732386,"Athens",37.96667,23.71667,13761,"Athens"
1625470357,70698,"2016-05-20","2016-05-26",10,75,8,32,12,60,2,16,13,52,0,0,55,45,235,45,235,461396992,"Diavata",40.7,22.86,13838,"Diavata"
1626259809,70698,"2016-01-30","2016-02-04",9,60,0,0,0,0,1,1,0,0,0,0,27,10,61,10,61,1094663034,"Chios",38.38333,26.11667,13754,"Chios"
1626390519,70698,"2016-05-20","2016-05-26",15,80,5,20,7,49,0,0,0,0,0,0,0,27,149,27,149,2141418389,"Ritsona",38.39,23.5,13840,"Ritsona"
1627988754,70698,"2016-05-20","2016-05-26",4,60,0,0,0,0,1,2,0,0,0,0,0,5,62,5,62,519440442,"Samos",37.75,26.83333,13753,"Samos"
1633939646,70698,"2016-04-15","2016-04-21",0,0,15,120,20,160,4,32,11,88,0,0,0,50,400,50,400,1537547328,"Idomeni",41.1265,22.518,13760,"Idomeni"
1637107378,70698,"2016-05-20","2016-05-26",0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,755114467,"Lesvos",39.1,26.55,13752,"Lesbos"
1640879445,70698,"2016-01-30","2016-02-04",5,20,9,48,8,32,0,0,0,0,0,0,0,22,100,22,100,2025732386,"Athens",37.96667,23.71667,13761,"Athens"
1642428311,70698,"2016-06-17","2016-06-23",14,132,8,64,13,48,0,0,9,72,10,140,55,54,456,44,316,2025732386,"Athens",37.96667,23.71667,13761,"Athens"
