"siteId","activityId","startDate","endDate","Nursing_Vols","Nursing_Hrs_Service","SocWel_Vols","SocWel_Hrs_Service","Sam_Vols","Sam_Hrs_Service","RFL_Vols","RFL_Hrs_Service","FTTraining_Vols","FTTraining_Hrs_Service","Ben_Vols","Ben_Hrs_Service","Staff_Vols_Trained","tVols_IncBen","tVolsHrs_IncBen","tVols_ExcBen","tVolsHrs_ExcBen","Male","Female","Under5","tBen","Men_Women_Under5","Family_Parcels","Food_Parcels","Food_To_Go","Hot_Meals","Water_Bottles","Survival_Kits","tFood","Fem_HygKits","Male_HygKits","Unisex_HygKits","San_Pads","Razors","BabyKits","Diapers","tHygiene","tHygKits","Sleeping_Bags","Camping_Mats","High_Thermal_Blankets","Med_Thermal_Blankets","Jackets","Socks","tTextiles","Duffel_Bags","Backpacks","tBags","tWarmth","tClothing","Alum_Blankets","Other","tNFI_Other","Tea","Plastic_Cups","Sugar_Packs","Plastic_Bags","tRamadan","tDistributions","Health_IncERU","First_Aid","Rescue","Hyg_Promo","WASH","PSS_Counseling","Child_Activities","tPSS","tRFL","tRFL_Vulnerable","Info_Services","WIFI_Mobile","PhoneCards_Calls","Hotline_Calls","tHealth","tConnect","tWASH","tPpl_Reached","locationId","locationName","latitude","longitude","partnerId","partnerName","Data.Collection","Severity"
468585246,74621,"2016-03-25","2016-03-31",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2645,2440,2116,7201,0,0,4200,0,0,14000,0,4200,0,0,1500,480,0,0,0,1980,1500,0,0,900,0,0,0,900,0,600,600,900,0,0,0,600,0,0,0,0,0,21680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025732386,"Athens",37.96667,23.71667,13761,"Athens","",""
491745475,74621,"2016-03-11","2016-03-17",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1057,837,859,2753,0,0,2056,0,0,3677,0,2056,0,0,351,186,352,32,230,1151,351,0,0,705,0,0,0,705,2049,0,2049,705,0,0,0,2049,0,0,0,0,0,9638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,755114467,"Lesvos",39.1,26.55,13752,"Lesbos","",""
498119025,74621,"2015-10-01","2015-12-25",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3088,420,659,4167,0,2090,510,0,0,2938,3045,2600,1045,0,0,0,0,242,0,1287,1045,723,274,56,0,0,0,1053,0,0,0,1053,0,0,3893,6938,0,0,0,0,0,14816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,569080712,"Kos",36.85,27.23333,13759,"Kos","",""
534566995,74621,"2016-06-10","2016-06-16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,178,275,42,495,0,0,0,495,0,1016,0,495,0,0,502,0,324,0,0,826,502,0,0,0,0,0,0,0,0,0,0,0,0,0,121,121,0,0,0,0,0,2458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2141418389,"Ritsona",38.39,23.5,13840,"Ritsona","",""
544213854,74621,"2016-01-16","2016-01-22",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,245,245,0,77,0,0,490,88,77,48,0,0,0,0,22,0,70,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,0,0,0,0,0,725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1094663034,"Chios",38.38333,26.11667,13910,"Hellenic Red Cross","",""
547156156,74621,"2016-03-11","2016-03-17",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30094,30094,0,2535,0,0,4760,0,2535,575,0,100,180,0,120,198,1173,675,0,600,752,0,0,0,1352,19394,880,20274,1352,0,0,0,20274,0,0,0,0,0,30094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1537547328,"Idomeni",41.1265,22.518,13760,"Idomeni","",""
551683186,74621,"2016-05-06","2016-05-12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2880,2880,0,0,2880,0,5760,0,2880,0,0,2880,468,0,300,0,3648,2880,0,0,0,0,0,0,0,0,0,0,0,0,0,5000,5000,0,0,0,0,0,17288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1198055428,"Skaramagas",38.0048,23.5891,13949,"Skaramagas","",""
560796903,74621,"2016-02-19","2016-02-25",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,847,520,303,1670,0,0,1000,0,0,4000,0,1000,0,0,0,0,0,314,0,314,0,0,0,0,0,0,0,0,0,200,200,0,0,0,0,200,0,0,0,0,0,5514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025732386,"Athens",37.96667,23.71667,13761,"Athens","",""
571996351,74621,"2016-04-29","2016-05-05",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1094663034,"Chios",38.38333,26.11667,13754,"Chios","",""
595898589,74621,"2016-05-20","2016-05-26",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,698,502,125,1325,0,0,1200,0,0,2400,0,1200,0,0,1200,0,0,0,0,1200,1200,0,0,361,0,0,0,361,1200,0,1200,361,0,0,0,1200,0,0,0,0,0,6361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,755114467,"Lesvos",39.1,26.55,13752,"Lesbos","",""
